SALE TYPE,PROPERTY TYPE,CITY,STATE OR PROVINCE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,STATUS,SOURCE,MLS#,LATITUDE,LONGITUDE
Redfin Data,Single Family Residential,Fremont,CA,1300000,3.0,2.0,Fremont,1067.0,1961.0,7.0,1218.0,Pre On-Market,Coming Soon,92185,37.5293388,-121.9900332
Redfin Data,Single Family Residential,Fremont,CA,1380000,4.0,2.5,Fremont,1866.0,1998.0,21.0,740.0,Pre On-Market,Coming Soon,91889,37.5436473,-122.0148182
MLS Listing,Single Family Residential,Fremont,CA,900000,3.0,2.0,Niles Area,1120.0,1955.0,1.0,804.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025752,37.5762266,-121.9605758
MLS Listing,Townhouse,Fremont,CA,990000,3.0,1.5,Valle De La Paz,1242.0,1971.0,1.0,797.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025224,37.5369587,-121.9236931
MLS Listing,Townhouse,Fremont,CA,748888,3.0,1.5,Cherry Lane,1180.0,1971.0,2.0,635.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025667,37.566879,-121.970475
MLS Listing,Single Family Residential,Fremont,CA,1688000,4.0,3.0,FREMONT,2160.0,1965.0,2.0,781.0,Active,MLSListings,ML81924624,37.5637557,-122.0249722
MLS Listing,Condo/Co-op,Fremont,CA,1314374,2.0,2.0,Warm Springs,1856.0,2023.0,3.0,708.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025519,37.5023864,-121.9342993
MLS Listing,Condo/Co-op,Fremont,CA,425000,1.0,1.0,Parkmont,750.0,1970.0,3.0,567.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025516,37.5583904,-121.990087
MLS Listing,Townhouse,Fremont,CA,669000,2.0,1.5,La Casa Real,1120.0,1980.0,3.0,597.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025125,37.568622,-121.965359
MLS Listing,Single Family Residential,Fremont,CA,1200000,2.0,2.0,Irvington,894.0,1946.0,3.0,1342.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025511,37.5297278,-121.9558189
MLS Listing,Single Family Residential,Fremont,CA,1150000,3.0,2.0,South Sundale,1201.0,1955.0,3.0,958.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41024578,37.5342983,-121.9689638
MLS Listing,Single Family Residential,Fremont,CA,1599888,3.0,2.0,Peralta Greens,1680.0,1963.0,3.0,952.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025483,37.5586405,-121.9975386
MLS Listing,Townhouse,Fremont,CA,949000,2.0,2.5,FREMONT,1309.0,1997.0,3.0,725.0,Active,MLSListings,ML81926160,37.545829,-121.973487
MLS Listing,Single Family Residential,Fremont,CA,1299888,4.0,2.0,Cabrillo,1740.0,1962.0,3.0,747.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025439,37.5601803,-122.0197116
MLS Listing,Single Family Residential,Fremont,CA,1050000,3.0,1.0,Sundale Manor,1064.0,1962.0,3.0,987.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025405,37.5193691,-121.9772303
MLS Listing,Single Family Residential,Fremont,CA,2199000,3.0,2.0,Mission Area,2136.0,1965.0,3.0,1029.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025430,37.5324003,-121.9326835
MLS Listing,Condo/Co-op,Fremont,CA,476000,1.0,1.0,Adobe Hills,693.0,1990.0,3.0,687.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41023396,37.5582495,-121.9694842
MLS Listing,Single Family Residential,Fremont,CA,1799000,3.0,2.5,Warm Springs,1852.0,1964.0,4.0,971.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025409,37.4720155,-121.9133761
MLS Listing,Single Family Residential,Fremont,CA,1100000,3.0,2.0,FREMONT,1116.0,1961.0,4.0,986.0,Active,MLSListings,ML81926024,37.5280358,-121.9893651
MLS Listing,Single Family Residential,Fremont,CA,1774900,4.0,2.0,Warm Springs,1964.0,1970.0,4.0,904.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025107,37.4837334,-121.9154528
MLS Listing,Condo/Co-op,Fremont,CA,950000,2.0,2.5,FREMONT,1248.0,1989.0,4.0,761.0,Active,MLSListings,ML81925989,37.5635228,-121.9728609
MLS Listing,Townhouse,Fremont,CA,1299000,4.0,4.0,FREMONT,1975.0,2019.0,4.0,658.0,Active,MLSListings,ML81925817,37.535889,-121.963092
MLS Listing,Single Family Residential,Fremont,CA,1949888,3.0,3.0,Gomes,1696.0,1977.0,5.0,1150.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025248,37.5454868,-121.9543545
MLS Listing,Townhouse,Fremont,CA,1020000,3.0,2.5,Lake Pointe,1400.0,1995.0,5.0,729.0,Active,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41025228,37.5608105,-121.9726944
MLS Listing,Single Family Residential,Fremont,CA,1199999,3.0,1.0,FREMONT,1014.0,1959.0,6.0,1183.0,Active,MLSListings,ML81924723,37.5850349,-121.9596813
MLS Listing,Single Family Residential,Milpitas,CA,1499000,4.0,2.5,MILPITAS,1943.0,1960.0,6.0,771.0,Active,MLSListings,ML81925803,37.4633092,-121.9057744
